[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001960s ]
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | INFO: Tag[ route_check ] --START--
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | INFO: Run CheckRoute Behavior [ RunTime:0.000987s ]
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001089s ]
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000621s ]
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000679s ]
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-05-04T09:50:58+08:00 ] /web/index.php/User/un_game?GameID=1 | NOTIC: [8] Undefined index:  date UserAction.class.php 第 4194 行.
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | INFO: Tag[ route_check ] --START--
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | INFO: Run CheckRoute Behavior [ RunTime:0.001968s ]
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002106s ]
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001881s ]
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001961s ]
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-05-04T10:03:26+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] Undefined index:  type UserAction.class.php 第 2292 行.
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | INFO: Tag[ view_template ] --START--
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | INFO: Run LocationTemplate Behavior [ RunTime:0.004575s ]
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004778s ]
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | INFO: Tag[ view_parse ] --START--
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] A session had already been started - ignoring session_start() head.html 第 3 行.
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 278 行.
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 285 行.
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 294 行.
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 298 行.
[ 2017-05-04T10:03:27+08:00 ] /web/index.php/User/zz_list33 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 304 行.
